,Scholarships,,,,,,
ID,Name,CGPA,Age Limit,Caste,Degree,AMOU,GENDER
SCH001,Government young scientists,9,19,GENERAL,MSc,"1,00,000",A
SCH002,Government beti Yojana,9,24,GENERAL,MSc,"2,00,000",F
SCH003,Mahila vigyaan fund,8,24,GENERAL,MSc,"2,00,000",F
SCH004,IIT Future scientists Scholarship,8,24,GENERAL,MSc,"2,00,000",A
SCH005,IIT Kanpur future scientists,7,24,SC/ST/OBC,MSc,"2,00,000",A
SCH006,IIT Hyderabad future scientists,7,24,SC/ST/OBC,MSc,"2,00,000",A
SCH007,IISC C V Raman awards,9.5,19,GENERAL,MSc,"1,00,000",A
SCH008,IISC Delhi Modi funds,9.5,19,GENERAL,MSc,"1,00,000",A
SCH009,IISC National scientists funds,9.5,19,GENERAL,MSc,"1,00,000",A
SCH010,IISC Women's scientists drive fund,9.5,19,GENERAL,MSc,"1,01,000",A
SCH011,Student's association funds,9.5,19,GENERAL,MSc,"1,01,000",A
SCH012,Student's association genral,8,19,GENERAL,MSc,"1,01,000",A
SCH013,IISC CNR Rao awards,8,19,GENERAL,MSc,"1,01,000",A
SCH014,Rajiv gandhi student awards,9,19,GENERAL,MSc,"1,01,000",A
SCH015,L&T yearly student support,8,19,GENERAL,MSc,"1,01,000",A
SCH016,Morgan Stanley future Citizens award,8,19,GENERAL,MSc,"1,01,000",A
SCH017,Morgan Stanley Yearly,8,19,GENERAL,MSc,"1,01,000",A
SCH018,IBM Women empowerment award,8,19,GENERAL,MSc,"1,01,000",F
SCH019,IBM yearly,8,19,GENERAL,MSc,"1,01,000",A
SCH020,Biocon Save the girl child funds,8,19,GENERAL,MSc,"1,02,000",F
SCH021,Biocon Yearly,8,19,GENERAL,MSc,"1,02,000",A
SCH022,Jhonson & Jhonson ,8,19,GENERAL,MSc,"1,02,000",A
SCH023,Medicare Anti bias drive,7,25,SC/ST/OBC,MSc,"2,02,000",A
SCH024,IITB Monash Research Academy Scholarships 2017,9,25,SC/ST/OBC,MSc,"2,02,000",A
SCH025,Nehru bright students drive,7,25,SC/ST/OBC,MSc,"2,02,000",A
SCH026,Intel Generation inspire drive,7,25,SC/ST/OBC,MSc,"2,02,000",A
SCH027,IBM Youth empowerment,7,27,SC/ST/OBC,MSc,"2,02,000",A
SCH028,Intel Youth empowerment drive\,9,27,GENERAL,ENG,"2,02,000",A
SCH029,Intel yearly,9,27,GENERAL,ENG,"2,02,000",A
SCH030,Intel young minds funds,9,27,GENERAL,ENG,"2,03,000",A
SCH031,Intel bright minds funds,9,27,GENERAL,ENG,"2,03,000",A
SCH032,IBM Inspire youth drive,9,27,GENERAL,ENG,"2,03,000",A
SCH033,IBM Inspire funds,9,27,GENERAL,ENG,"2,03,000",A
SCH034,IBM Womenspire funds,9,27,GENERAL,ENG,"2,03,000",F
SCH035,IBM Antipoverty drive,9,27,SC/ST/OBC,ENG,"2,03,000",A
SCH036,IBM Students motivation drive,9,27,GENERAL,ENG,"2,03,000",A
SCH037,TCS yearly,9,27,GENERAL,ENG,"2,03,000",A
SCH038,TCS Inspire the youth funds,9,27,GENERAL,ENG,"2,03,000",A
SCH039,TCS Higher education funds,9,27,GENERAL,ENG,"2,03,000",A
SCH040,TCS Women empowerment funds,9,27,GENERAL,ENG,"2,04,000",F
SCH041,IIT Novel Scholarships,9,27,GENERAL,ENG,"2,04,000",A
SCH042,IIT Prestige Scholarships,9,27,GENERAL,ENG,"2,04,000",A
SCH043,IIT Toppers Scholarships,9,27,GENERAL,ENG,"2,04,000",A
SCH044,IIT Young minds Scholarships,9,27,GENERAL,ENG,"2,04,000",A
SCH045,IIT Inspire Scholarships,9,27,GENERAL,ENG,"2,04,000",A
SCH046,IIT Antipoverty drive,9,27,SC/ST/OBC,ENG,"2,04,000",A
